From,N,share,ranking
535dd9bb,1,0.00185873605947955,21
d691d4d1,1,0.00185873605947955,22
0d827678,2,0.00371747211895911,19
b4a6b7b1,2,0.00371747211895911,20
1a129115,3,0.00557620817843866,18
6dc004d4,4,0.00743494423791822,17
aaaa20d0,6,0.0111524163568773,14
f25462ef,6,0.0111524163568773,15
56500d94,6,0.0111524163568773,16
a07a6c1c,9,0.016728624535316,13
c5504a54,10,0.0185873605947955,12
af4d4c68,11,0.0204460966542751,11
36cd8298,12,0.0223048327137546,10
69307a08,14,0.0260223048327138,9
09e96521,19,0.0353159851301115,8
419fdc3d,21,0.0390334572490706,7
189c38e8,23,0.0427509293680297,6
e5d310e0,34,0.0631970260223048,5
4dbc5a10,39,0.0724907063197026,4
b8e50f61,60,0.111524163568773,3
963feaec,63,0.117100371747212,2
67669d2d,192,0.356877323420074,1
