email,From,Sent,date,rank
43,e5d310e0,"Wednesday, December 23, 2020 12:51 PM",2020-12-23T17:51:00Z,5
44,e5d310e0,"Wednesday, December 23, 2020 10:06 AM",2020-12-23T15:06:00Z,5
45,aaaa20d0,"Tuesday, December 22, 2020 2:24 PM",2020-12-22T07:24:00Z,
46,aaaa20d0,"Tuesday, December 22, 2020 2:02 PM",2020-12-22T07:02:00Z,
47,aaaa20d0,"Tuesday, December 22, 2020 11:30 AM",2020-12-22T16:30:00Z,
48,aaaa20d0,"Tuesday, December 22, 2020 10:37 AM",2020-12-22T15:37:00Z,
49,e5d310e0,"Tuesday, December 22, 2020 10:32 AM",2020-12-22T15:32:00Z,5
50,e5d310e0,"Tuesday, December 22, 2020 9:36 AM",2020-12-22T14:36:00Z,5
51,aaaa20d0,"Monday, December 21, 2020 3:04 PM",2020-12-21T08:04:00Z,
52,aaaa20d0,"Monday, December 21, 2020 2:43 PM",2020-12-21T07:43:00Z,
53,6dc004d4,"Thursday, December 17, 2020 10:57 AM",2020-12-17T15:57:00Z,
54,6dc004d4,"Thursday, December 17, 2020 10:04 AM",2020-12-17T15:04:00Z,
55,67669d2d,"Thursday, December 17, 2020 9:46 AM",2020-12-17T14:46:00Z,1
56,67669d2d,"Thursday, December 17, 2020 8:37 AM",2020-12-17T13:37:00Z,1
57,b8e50f61,"Wednesday, December 16, 2020 3:02 PM",2020-12-16T08:02:00Z,3
58,b8e50f61,"Wednesday, December 16, 2020 1:57 PM",2020-12-16T06:57:00Z,3
59,6dc004d4,"Wednesday, December 16, 2020 1:35 PM",2020-12-16T06:35:00Z,
60,6dc004d4,"Wednesday, December 16, 2020 1:57 PM",2020-12-16T06:57:00Z,
61,4dbc5a10,"Tuesday, December 15, 2020 3:58 PM",2020-12-15T08:58:00Z,4
62,4dbc5a10,"Tuesday, December 15, 2020 2:49 PM",2020-12-15T07:49:00Z,4
63,b8e50f61,"Friday, December 11, 2020 9:32 AM",2020-12-11T14:32:00Z,3
64,b8e50f61,"Thursday, December 10, 2020 2:38 PM",2020-12-10T07:38:00Z,3
65,36cd8298,"Friday, December 4, 2020 8:51 AM",2020-12-04T13:51:00Z,
66,36cd8298,"Friday, December 4, 2020 9:36 AM",2020-12-04T14:36:00Z,
67,67669d2d,"Friday, November 20, 2020 4:39 PM",2020-11-20T09:39:00Z,1
68,67669d2d,"Friday, November 20, 2020 3:49 PM",2020-11-20T08:49:00Z,1
69,67669d2d,"Friday, November 20, 2020 2:37 PM",2020-11-20T07:37:00Z,1
70,67669d2d,"Friday, November 20, 2020 12:11 PM",2020-11-20T17:11:00Z,1
71,67669d2d,"Friday, November 20, 2020 10:35 AM",2020-11-20T15:35:00Z,1
72,e5d310e0,"Friday, November 20, 2020 9:58 AM",2020-11-20T14:58:00Z,5
73,e5d310e0,"Friday, November 20, 2020 8:44 AM",2020-11-20T13:44:00Z,5
74,67669d2d,"Friday, November 20, 2020 8:25 AM",2020-11-20T13:25:00Z,1
75,67669d2d,"Friday, November 20, 2020 7:55 AM",2020-11-20T12:55:00Z,1
76,36cd8298,"Friday, November 20, 2020 7:45 AM",2020-11-20T12:45:00Z,
77,36cd8298,"Friday, November 20, 2020 7:28 AM",2020-11-20T12:28:00Z,
78,67669d2d,"Thursday, November 19, 2020 9:23 PM",2020-11-19T14:23:00Z,1
79,67669d2d,"Thursday, November 19, 2020 6:52 PM",2020-11-19T11:52:00Z,1
80,67669d2d,"Thursday, November 19, 2020 6:17 PM",2020-11-19T11:17:00Z,1
81,67669d2d,"Thursday, November 19, 2020 4:15 PM",2020-11-19T09:15:00Z,1
82,36cd8298,"Wednesday, November 18, 2020 3:23 PM",2020-11-18T08:23:00Z,
83,36cd8298,"Wednesday, November 18, 2020 3:10 PM",2020-11-18T08:10:00Z,
84,b8e50f61,"Monday, November 16, 2020 1:56 PM",2020-11-16T06:56:00Z,3
85,b8e50f61,"Monday, November 16, 2020 1:49 PM",2020-11-16T06:49:00Z,3
86,f25462ef,"Monday, November 16, 2020 12:12 PM",2020-11-16T17:12:00Z,
87,f25462ef,"Monday, November 16, 2020 10:10 AM",2020-11-16T15:10:00Z,
88,963feaec,"Friday, November 13, 2020 11:16 AM",2020-11-13T16:16:00Z,2
89,963feaec,"Friday, November 13, 2020 10:25 AM",2020-11-13T15:25:00Z,2
90,67669d2d,"Friday, November 13, 2020 10:04 AM",2020-11-13T15:04:00Z,1
91,67669d2d,"Friday, November 13, 2020 9:59 AM",2020-11-13T14:59:00Z,1
92,f25462ef,"Thursday, November 12, 2020 1:21 PM",2020-11-12T06:21:00Z,
93,f25462ef,"Thursday, November 12, 2020 12:47 PM",2020-11-12T17:47:00Z,
94,f25462ef,"Thursday, November 12, 2020 10:56 AM",2020-11-12T15:56:00Z,
95,f25462ef,"Thursday, November 12, 2020 10:15 AM",2020-11-12T15:15:00Z,
96,69307a08,"Wednesday, November 11, 2020 5:02 PM",2020-11-11T10:02:00Z,
97,69307a08,"Wednesday, November 11, 2020 2:22 PM",2020-11-11T07:22:00Z,
98,67669d2d,"Monday, November 9, 2020 11:01 PM",2020-11-09T16:01:00Z,1
99,67669d2d,"Monday, November 9, 2020 10:07 PM",2020-11-09T15:07:00Z,1
100,b8e50f61,"Friday, November 6, 2020 5:28 PM",2020-11-06T10:28:00Z,3
101,b8e50f61,"Friday, November 6, 2020 5:10 PM",2020-11-06T10:10:00Z,3
102,69307a08,"Thursday, November 5, 2020 1:19 PM",2020-11-05T06:19:00Z,
103,69307a08,"Thursday, November 5, 2020 10:00 AM",2020-11-05T15:00:00Z,
104,69307a08,"Wednesday, November 4, 2020 5:17 PM",2020-11-04T10:17:00Z,
105,b8e50f61,"Wednesday, November 4, 2020 3:11 PM",2020-11-04T08:11:00Z,3
106,b8e50f61,"Wednesday, November 4, 2020 3:01 PM",2020-11-04T08:01:00Z,3
107,67669d2d,"Tuesday, November 3, 2020 11:37 AM",2020-11-03T16:37:00Z,1
108,67669d2d,"Tuesday, November 3, 2020 11:27 AM",2020-11-03T16:27:00Z,1
109,67669d2d,"Tuesday, November 3, 2020 9:37 AM",2020-11-03T14:37:00Z,1
110,67669d2d,"Tuesday, November 3, 2020 9:16 AM",2020-11-03T14:16:00Z,1
111,69307a08,"Monday, November 2, 2020 4:12 PM",2020-11-02T09:12:00Z,
112,67669d2d,"Saturday, October 31, 2020 12:02 PM",2020-10-31T16:02:00Z,1
113,67669d2d,"Saturday, October 31, 2020 11:59 AM",2020-10-31T15:59:00Z,1
114,e5d310e0,"Friday, October 30, 2020 8:08 PM",2020-10-30T12:08:00Z,5
115,e5d310e0,"Friday, October 30, 2020 5:52 PM",2020-10-30T09:52:00Z,5
116,67669d2d,"Friday, October 30, 2020 5:50 PM",2020-10-30T09:50:00Z,1
117,67669d2d,"Friday, October 30, 2020 5:41 PM",2020-10-30T09:41:00Z,1
118,0d827678,"Friday, October 30, 2020 4:01 PM",2020-10-30T08:01:00Z,
119,0d827678,"Friday, October 30, 2020 3:26 PM",2020-10-30T07:26:00Z,
120,69307a08,"Friday, October 30, 2020 12:14 PM",2020-10-30T16:14:00Z,
121,69307a08,"Friday, October 30, 2020 12:06 PM",2020-10-30T16:06:00Z,
122,69307a08,"Friday, October 30, 2020 11:37 AM",2020-10-30T15:37:00Z,
123,69307a08,"Friday, October 30, 2020 10:37 AM",2020-10-30T14:37:00Z,
124,67669d2d,"Thursday, October 29, 2020 3:34 PM",2020-10-29T07:34:00Z,1
125,67669d2d,"Thursday, October 29, 2020 2:45 PM",2020-10-29T06:45:00Z,1
126,c5504a54,"Thursday, October 29, 2020 2:17 PM",2020-10-29T06:17:00Z,
127,c5504a54,"Thursday, October 29, 2020 2:04 PM",2020-10-29T06:04:00Z,
128,67669d2d,"Thursday, October 29, 2020 12:04 PM",2020-10-29T16:04:00Z,1
129,67669d2d,"Thursday, October 29, 2020 11:53 AM",2020-10-29T15:53:00Z,1
130,67669d2d,"Wednesday, October 28, 2020 11:59 PM",2020-10-28T15:59:00Z,1
131,69307a08,"Wednesday, October 28, 2020 11:00 PM",2020-10-28T15:00:00Z,
132,69307a08,"Wednesday, October 28, 2020 2:58 PM",2020-10-28T06:58:00Z,
133,b8e50f61,"Tuesday, October 27, 2020 7:15 PM",2020-10-27T11:15:00Z,3
134,b8e50f61,"Tuesday, October 27, 2020 6:25 PM",2020-10-27T10:25:00Z,3
135,419fdc3d,"Tuesday, October 27, 2020 3:10 PM",2020-10-27T07:10:00Z,
136,419fdc3d,"Tuesday, October 27, 2020 2:41 PM",2020-10-27T06:41:00Z,
137,67669d2d,"Tuesday, October 27, 2020 11:32 AM",2020-10-27T15:32:00Z,1
138,67669d2d,"Tuesday, October 27, 2020 11:07 AM",2020-10-27T15:07:00Z,1
139,67669d2d,"Monday, October 26, 2020 6:05 PM",2020-10-26T10:05:00Z,1
140,67669d2d,"Monday, October 26, 2020 5:22 PM",2020-10-26T09:22:00Z,1
141,67669d2d,"Monday, October 26, 2020 4:35 PM",2020-10-26T08:35:00Z,1
142,67669d2d,"Monday, October 26, 2020 3:57 PM",2020-10-26T07:57:00Z,1
143,b8e50f61,"Monday, October 26, 2020 2:33 PM",2020-10-26T06:33:00Z,3
144,b8e50f61,"Monday, October 26, 2020 2:21 PM",2020-10-26T06:21:00Z,3
145,b8e50f61,"Monday, October 26, 2020 12:28 PM",2020-10-26T16:28:00Z,3
146,b8e50f61,"Monday, October 26, 2020 11:37 AM",2020-10-26T15:37:00Z,3
147,535dd9bb,"Friday, October 23, 2020 5:35 PM",2020-10-23T09:35:00Z,
148,419fdc3d,"Friday, October 23, 2020 4:15 PM",2020-10-23T08:15:00Z,
149,67669d2d,"Friday, October 23, 2020 10:11 AM",2020-10-23T14:11:00Z,1
150,67669d2d,"Friday, October 23, 2020 9:48 AM",2020-10-23T13:48:00Z,1
151,67669d2d,"Friday, October 23, 2020 9:33 AM",2020-10-23T13:33:00Z,1
152,67669d2d,"Friday, October 23, 2020 8:35 AM",2020-10-23T12:35:00Z,1
153,67669d2d,"Thursday, October 22, 2020 3:28 PM",2020-10-22T07:28:00Z,1
154,67669d2d,"Thursday, October 22, 2020 2:04 PM",2020-10-22T06:04:00Z,1
155,c5504a54,"Thursday, October 22, 2020 1:59 PM",2020-10-22T05:59:00Z,
156,c5504a54,"Thursday, October 22, 2020 1:07 PM",2020-10-22T05:07:00Z,
157,67669d2d,"Wednesday, October 21, 2020 6:14 PM",2020-10-21T10:14:00Z,1
158,1a129115,"Wednesday, October 21, 2020 5:32 PM",2020-10-21T09:32:00Z,
159,67669d2d,"Wednesday, October 21, 2020 3:02 PM",2020-10-21T07:02:00Z,1
160,67669d2d,"Wednesday, October 21, 2020 2:28 PM",2020-10-21T06:28:00Z,1
161,c5504a54,"Wednesday, October 21, 2020 1:49 PM",2020-10-21T05:49:00Z,
162,c5504a54,"Wednesday, October 21, 2020 12:04 PM",2020-10-21T16:04:00Z,
163,67669d2d,"Wednesday, October 21, 2020 10:46 AM",2020-10-21T14:46:00Z,1
164,67669d2d,"Wednesday, October 21, 2020 10:36 AM",2020-10-21T14:36:00Z,1
165,67669d2d,"Wednesday, October 21, 2020 9:46 AM",2020-10-21T13:46:00Z,1
166,67669d2d,"Wednesday, October 21, 2020 8:30 AM",2020-10-21T12:30:00Z,1
167,c5504a54,"Tuesday, October 20, 2020 2:34 PM",2020-10-20T06:34:00Z,
168,c5504a54,"Tuesday, October 20, 2020 1:49 PM",2020-10-20T05:49:00Z,
